carat,cut,color,clarity,depth,table,x,y,z,__target__
1.06,2.0,3.0,5.0,61.1,57.0,6.59,6.56,4.02,6667
0.52,2.0,4.0,6.0,61.2,57.0,5.17,5.22,3.18,1809
0.76,2.0,5.0,5.0,61.3,56.0,5.87,5.91,3.61,2793
0.97,2.0,2.0,2.0,61.7,56.0,6.37,6.32,3.92,3884
1.03,3.0,0.0,5.0,62.9,59.0,6.43,6.38,4.03,7718
0.52,2.0,4.0,4.0,62.0,55.0,5.15,5.19,3.2,1699
1.52,4.0,1.0,5.0,60.3,59.0,7.43,7.52,4.51,13001
0.52,2.0,4.0,1.0,62.1,57.0,5.13,5.16,3.19,1956
1.0,3.0,1.0,3.0,60.7,58.0,6.45,6.38,3.9,3763
0.38,3.0,0.0,5.0,61.5,62.0,4.63,4.6,2.84,1117
2.07,3.0,4.0,2.0,61.2,60.0,8.2,8.12,4.99,14476
1.25,2.0,1.0,6.0,62.6,56.0,6.83,6.91,4.3,13536
0.8,4.0,0.0,5.0,63.1,57.0,5.94,5.89,3.73,3135
0.5,3.0,3.0,2.0,62.2,60.0,5.07,5.03,3.14,1286
0.72,2.0,5.0,4.0,61.7,54.5,5.77,5.8,3.57,2430
1.18,2.0,5.0,4.0,62.2,57.0,6.76,6.72,4.19,5551
1.21,4.0,5.0,3.0,63.4,62.0,6.84,6.69,4.31,3964
1.5,3.0,4.0,3.0,61.8,57.0,7.34,7.31,4.53,6443
0.52,3.0,2.0,3.0,61.7,58.0,5.16,5.12,3.17,1219
0.81,2.0,5.0,4.0,61.8,56.0,5.97,6.0,3.7,3422
0.56,3.0,3.0,2.0,60.2,59.0,5.34,5.36,3.22,1340
0.3,2.0,2.0,2.0,61.9,57.0,4.31,4.35,2.68,475
0.7,2.0,3.0,7.0,62.1,56.0,5.63,5.71,3.52,2858
0.31,1.0,3.0,6.0,63.1,56.0,4.33,4.35,2.74,816
2.01,4.0,1.0,2.0,62.7,57.0,8.03,8.11,5.06,17676
1.54,2.0,3.0,4.0,62.0,57.0,7.4,7.45,4.6,14650
1.32,3.0,4.0,3.0,59.4,54.0,7.21,7.09,4.25,4879
1.03,2.0,6.0,2.0,62.3,57.0,6.48,6.43,4.02,3738
1.06,3.0,4.0,2.0,61.0,58.0,6.61,6.57,4.02,5075
0.72,1.0,0.0,3.0,59.7,61.0,5.78,5.84,3.47,2620
0.34,3.0,3.0,1.0,60.5,58.0,4.47,4.52,2.72,879
0.32,2.0,1.0,2.0,63.2,55.0,4.37,4.33,2.75,528
0.3,4.0,0.0,5.0,62.9,55.0,4.25,4.27,2.68,650
0.32,2.0,1.0,7.0,61.5,57.0,4.4,4.41,2.71,842
1.51,0.0,4.0,2.0,65.4,59.0,7.17,7.11,4.67,9386
0.62,1.0,3.0,4.0,62.5,60.8,5.37,5.47,3.39,1893
0.23,1.0,1.0,6.0,59.9,65.0,3.93,3.95,2.36,439
0.31,2.0,2.0,6.0,60.7,56.0,4.4,4.37,2.66,878
0.3,2.0,3.0,7.0,60.6,57.0,4.35,4.33,2.63,878
0.44,2.0,3.0,1.0,62.2,54.0,4.89,4.92,3.05,1348
1.14,3.0,3.0,3.0,61.1,59.0,6.77,6.72,4.12,4688
0.31,4.0,4.0,5.0,60.5,63.0,4.37,4.33,2.63,628
1.52,2.0,5.0,5.0,62.1,55.0,7.41,7.33,4.58,9176
0.4,2.0,3.0,6.0,61.7,55.0,4.73,4.76,2.93,1374
0.54,2.0,4.0,4.0,61.5,56.0,5.24,5.23,3.22,1637
1.09,3.0,5.0,2.0,61.7,59.0,6.59,6.53,4.05,4273
0.9,1.0,5.0,6.0,63.6,58.0,6.14,6.1,3.89,4114
0.61,2.0,0.0,5.0,62.0,56.0,5.43,5.48,3.38,2202
1.7,2.0,2.0,5.0,62.3,56.0,7.61,7.65,4.75,17892
2.01,3.0,2.0,2.0,63.0,59.0,7.99,7.89,5.0,15134
1.33,2.0,4.0,3.0,62.3,55.0,7.01,7.08,4.39,6791
0.3,2.0,0.0,5.0,62.3,53.9,4.3,4.32,2.69,762
0.71,3.0,4.0,5.0,60.9,58.0,5.72,5.77,3.5,2363
0.33,2.0,1.0,6.0,61.5,57.0,4.44,4.47,2.74,984
0.42,2.0,3.0,1.0,61.9,53.0,4.83,4.87,3.0,1289
0.63,2.0,1.0,4.0,61.5,56.0,5.5,5.53,3.39,2503
1.51,3.0,2.0,3.0,61.8,59.0,7.36,7.3,4.53,7441
1.5,4.0,5.0,5.0,60.8,58.0,7.36,7.42,4.49,9804
2.01,3.0,4.0,2.0,60.0,60.0,8.16,8.13,4.89,12271
0.41,3.0,4.0,2.0,60.5,58.0,4.85,4.81,2.92,876
0.42,3.0,0.0,4.0,60.8,60.0,4.87,4.84,2.95,1235
1.05,2.0,3.0,7.0,62.2,56.0,6.49,6.53,4.05,8645
0.3,3.0,5.0,4.0,60.3,58.0,4.32,4.34,2.61,473
0.7,3.0,2.0,2.0,61.7,61.0,5.7,5.67,3.51,2348
0.75,2.0,1.0,5.0,61.9,57.0,5.81,5.83,3.6,3435
0.41,2.0,2.0,7.0,62.1,55.0,4.77,4.79,2.97,1036
0.3,4.0,2.0,5.0,62.8,58.0,4.25,4.28,2.68,605
0.72,2.0,0.0,2.0,61.5,54.0,5.77,5.8,3.56,2804
1.74,2.0,6.0,2.0,62.1,54.0,7.73,7.69,4.79,9208
0.7,2.0,1.0,5.0,62.6,57.0,5.63,5.68,3.54,2952
0.34,4.0,4.0,5.0,60.0,58.0,4.52,4.56,2.72,521
1.0,2.0,2.0,3.0,61.0,55.0,6.45,6.41,3.92,3562
0.5,3.0,2.0,2.0,61.2,59.0,5.13,5.1,3.13,1063
1.14,3.0,3.0,3.0,60.4,59.0,6.8,6.78,4.1,4884
0.9,4.0,1.0,5.0,62.2,59.0,6.13,6.18,3.83,4580
1.5,2.0,3.0,3.0,62.0,57.0,7.31,7.26,4.52,8736
0.71,4.0,4.0,5.0,59.2,63.0,5.81,5.85,3.45,2428
1.01,3.0,2.0,3.0,61.3,60.0,6.4,6.43,3.93,4416
0.33,2.0,1.0,5.0,61.6,57.0,4.44,4.46,2.74,723
1.22,3.0,6.0,4.0,61.7,59.0,6.92,6.85,4.25,5910
0.73,2.0,6.0,2.0,61.3,57.0,5.82,5.8,3.56,1956
0.92,3.0,3.0,3.0,62.9,58.0,6.21,6.15,3.89,3650
1.51,4.0,5.0,2.0,59.3,59.0,7.49,7.59,4.47,8856
1.63,2.0,4.0,3.0,62.4,57.0,7.59,7.52,4.71,7923
0.55,4.0,1.0,7.0,60.4,56.0,5.36,5.38,3.24,2399
1.01,2.0,5.0,2.0,60.3,58.0,6.5,6.56,3.94,4641
0.5,0.0,1.0,3.0,59.8,66.0,5.18,5.09,3.07,1114
0.51,4.0,4.0,2.0,63.4,57.0,5.09,5.06,3.22,1227
0.74,4.0,1.0,4.0,62.8,59.0,5.68,5.76,3.59,3416
1.01,4.0,6.0,5.0,63.3,54.0,6.42,6.34,4.04,3620
0.41,3.0,3.0,7.0,61.6,58.0,4.74,4.8,2.94,1007
0.3,2.0,6.0,4.0,62.0,57.0,4.28,4.3,2.66,411
0.51,4.0,3.0,7.0,62.2,56.0,5.1,5.13,3.18,1762
1.2,2.0,5.0,4.0,62.1,57.0,6.84,6.8,4.23,6324
0.72,2.0,2.0,6.0,61.7,56.0,5.73,5.77,3.55,3795
1.11,3.0,4.0,2.0,58.9,59.0,6.82,6.76,4.0,4748
0.7,2.0,2.0,6.0,61.0,57.0,5.71,5.76,3.5,3602
0.31,4.0,2.0,6.0,62.4,60.0,4.28,4.31,2.68,897
0.51,3.0,3.0,7.0,61.7,58.0,5.14,5.11,3.16,1974
0.9,4.0,0.0,7.0,62.6,59.0,6.11,6.15,3.84,6872
1.01,1.0,3.0,3.0,62.8,57.0,6.3,6.34,3.97,3852
1.28,3.0,4.0,3.0,61.9,56.0,7.02,6.94,4.32,5949
0.7,3.0,1.0,2.0,59.7,60.0,5.81,5.79,3.46,2394
0.41,3.0,1.0,4.0,61.2,58.0,4.78,4.76,2.92,1153
0.3,2.0,0.0,7.0,61.4,55.0,4.34,4.36,2.67,1041
0.32,2.0,0.0,2.0,62.7,54.0,4.4,4.37,2.75,756
0.32,2.0,2.0,2.0,61.9,55.0,4.38,4.41,2.72,491
1.01,2.0,2.0,4.0,62.2,57.0,6.48,6.39,4.0,7240
1.31,3.0,6.0,4.0,62.3,56.0,7.06,6.99,4.38,6236
0.26,2.0,4.0,4.0,62.2,55.0,4.12,4.14,2.57,482
0.41,2.0,1.0,7.0,61.4,57.0,4.76,4.79,2.93,1187
0.24,4.0,0.0,6.0,61.5,60.0,3.97,4.0,2.45,553
0.36,2.0,3.0,1.0,61.6,55.0,4.59,4.57,2.82,1148
0.56,3.0,1.0,5.0,61.1,57.0,5.38,5.33,3.27,1864
0.55,4.0,1.0,3.0,59.6,57.0,5.34,5.39,3.2,1145
2.01,3.0,4.0,2.0,62.7,59.0,8.08,8.03,5.05,17849
1.06,2.0,2.0,7.0,61.1,57.0,6.62,6.57,4.03,8776
0.81,1.0,0.0,2.0,64.1,54.0,5.92,5.96,3.81,3324
0.38,2.0,2.0,4.0,59.8,57.0,4.72,4.75,2.84,879
1.24,2.0,5.0,3.0,61.8,58.0,6.85,6.9,4.25,5866
0.52,2.0,0.0,2.0,61.5,55.0,5.19,5.22,3.2,1600
0.72,2.0,1.0,4.0,62.6,57.0,5.69,5.72,3.57,3283
1.5,4.0,4.0,3.0,62.0,63.0,7.24,7.28,4.5,7161
1.21,4.0,4.0,5.0,62.9,55.0,6.75,6.8,4.26,7426
0.41,4.0,1.0,2.0,61.4,56.0,4.77,4.81,2.94,755
0.31,2.0,1.0,2.0,61.5,55.0,4.39,4.42,2.71,547
1.04,1.0,2.0,4.0,63.9,55.0,6.49,6.4,4.12,6653
1.52,2.0,6.0,2.0,61.9,56.0,7.37,7.41,4.57,8131
2.02,3.0,1.0,3.0,60.4,57.0,8.21,8.18,4.95,14574
1.43,0.0,1.0,2.0,65.1,56.0,7.1,7.03,4.61,7928
0.32,4.0,1.0,5.0,62.0,54.0,4.37,4.41,2.72,702
0.75,2.0,1.0,2.0,61.4,57.0,5.82,5.87,3.59,2831
0.51,2.0,3.0,2.0,61.5,55.5,5.13,5.19,3.17,1254
1.29,2.0,0.0,4.0,62.4,55.0,6.93,6.99,4.34,13485
1.01,3.0,3.0,1.0,60.0,61.0,6.45,6.41,3.86,8120
3.51,3.0,6.0,5.0,62.5,59.0,9.66,9.63,6.03,18701
1.34,3.0,4.0,3.0,61.6,60.0,7.05,6.97,4.32,4502
0.34,2.0,4.0,1.0,60.8,56.0,4.56,4.55,2.77,988
0.6,2.0,1.0,5.0,61.2,56.0,5.45,5.44,3.33,2189
0.38,2.0,2.0,4.0,62.0,54.0,4.65,4.68,2.89,865
0.6,2.0,1.0,5.0,62.3,53.8,5.41,5.45,3.38,2137
0.31,3.0,6.0,4.0,60.7,60.0,4.39,4.34,2.65,523
0.37,2.0,3.0,1.0,61.4,55.0,4.63,4.66,2.85,1056
1.01,4.0,2.0,3.0,63.4,60.0,6.33,6.26,3.99,3563
0.23,3.0,1.0,6.0,58.6,61.0,4.04,4.02,2.36,680
0.71,2.0,0.0,4.0,62.1,57.0,5.7,5.73,3.55,3801
0.5,1.0,6.0,2.0,59.6,60.0,5.15,5.18,3.08,959
0.7,4.0,3.0,2.0,60.6,57.0,5.73,5.79,3.49,2042
1.22,3.0,5.0,5.0,60.3,59.0,6.93,6.87,4.16,6217
0.3,2.0,0.0,2.0,61.7,56.0,4.31,4.35,2.67,552
0.8,2.0,5.0,4.0,61.9,54.1,5.92,5.98,3.69,2986
0.51,4.0,1.0,2.0,62.9,55.0,5.06,5.12,3.2,1284
2.01,1.0,5.0,2.0,63.8,57.0,7.95,7.91,5.06,13976
2.0,3.0,3.0,3.0,60.7,60.0,8.13,8.07,4.92,10833
0.9,3.0,4.0,5.0,60.6,60.0,6.24,6.3,3.8,4044
0.35,4.0,3.0,1.0,62.2,58.0,4.45,4.52,2.79,1044
1.02,3.0,3.0,7.0,62.2,60.0,6.39,6.43,3.99,7602
0.73,2.0,5.0,4.0,61.1,56.0,5.79,5.83,3.55,2596
0.33,3.0,3.0,1.0,60.8,58.0,4.46,4.42,2.7,1052
0.7,2.0,0.0,5.0,61.5,56.0,5.7,5.74,3.52,3129
0.3,2.0,3.0,2.0,62.3,56.0,4.29,4.31,2.68,477
0.55,4.0,2.0,2.0,63.3,58.0,5.21,5.18,3.29,1449
0.7,2.0,1.0,4.0,62.1,56.0,5.7,5.66,3.53,3472
0.31,2.0,3.0,5.0,62.7,57.0,4.31,4.34,2.71,544
0.4,1.0,4.0,7.0,63.2,55.0,4.7,4.73,2.98,877
1.2,3.0,6.0,2.0,60.5,59.0,6.84,6.79,4.12,4536
0.53,4.0,2.0,5.0,59.2,58.0,5.29,5.31,3.14,1693
0.41,3.0,1.0,3.0,60.6,60.0,4.83,4.8,2.92,771
0.72,2.0,4.0,7.0,60.9,57.0,5.79,5.77,3.52,2869
1.19,1.0,0.0,4.0,63.8,55.0,6.68,6.64,4.25,7437
0.51,3.0,3.0,3.0,63.0,61.0,5.08,4.99,3.17,1056
1.01,3.0,4.0,2.0,62.6,61.0,6.39,6.36,3.99,4707
1.01,1.0,3.0,2.0,58.4,61.0,6.51,6.61,3.83,5051
0.73,3.0,1.0,5.0,62.0,57.0,5.86,5.76,3.6,2854
0.51,2.0,2.0,7.0,60.3,56.0,5.2,5.23,3.15,2138
0.32,2.0,4.0,5.0,63.0,57.0,4.38,4.35,2.75,648
1.06,2.0,3.0,2.0,62.0,56.0,6.52,6.55,4.05,5159
1.02,3.0,4.0,3.0,60.9,59.0,6.51,6.46,3.95,4284
1.21,3.0,2.0,3.0,59.0,60.0,6.94,6.99,4.11,5982
0.31,2.0,1.0,1.0,61.9,56.0,4.37,4.35,2.7,1133
0.5,2.0,0.0,5.0,61.7,53.0,5.14,5.16,3.18,1678
0.31,3.0,0.0,2.0,61.1,57.0,4.36,4.35,2.66,732
0.8,2.0,1.0,7.0,61.4,57.0,5.98,5.94,3.66,4493
1.22,2.0,3.0,2.0,61.6,57.0,6.89,6.81,4.22,6559
1.01,1.0,3.0,3.0,62.8,61.0,6.31,6.37,3.98,4210
0.6,4.0,5.0,5.0,60.6,60.0,5.46,5.49,3.32,1402
1.42,2.0,6.0,7.0,61.9,55.0,7.19,7.24,4.47,7773
0.32,2.0,1.0,6.0,61.2,55.0,4.4,4.45,2.71,892
1.01,1.0,3.0,2.0,63.7,60.0,6.32,6.28,4.01,5113
0.7,3.0,0.0,5.0,59.6,61.0,5.8,5.77,3.45,2859
1.74,2.0,3.0,5.0,61.7,56.0,7.72,7.68,4.75,16316
1.27,2.0,3.0,1.0,61.5,58.0,6.95,6.99,4.29,11157
1.64,4.0,3.0,3.0,60.9,57.0,7.57,7.61,4.62,8794
1.23,3.0,3.0,7.0,59.6,59.0,6.95,6.98,4.15,8810
0.36,3.0,1.0,5.0,60.3,59.0,4.64,4.58,2.78,1013
0.9,1.0,4.0,2.0,63.8,57.0,6.07,6.13,3.89,3201
0.46,2.0,3.0,2.0,61.4,56.0,4.97,4.99,3.06,990
0.31,3.0,3.0,4.0,62.1,58.0,4.31,4.35,2.69,625
0.3,2.0,4.0,5.0,62.5,57.0,4.26,4.29,2.67,491
1.12,4.0,5.0,5.0,63.9,52.0,6.58,6.65,4.23,4914
1.52,3.0,0.0,2.0,59.2,61.0,7.59,7.55,4.48,12823
0.32,2.0,0.0,7.0,61.2,56.0,4.43,4.39,2.7,1030
2.06,2.0,3.0,3.0,62.3,56.0,8.16,8.09,5.06,18293
1.06,2.0,0.0,1.0,61.2,57.0,6.57,6.61,4.03,15813
0.33,3.0,6.0,4.0,61.5,61.0,4.46,4.39,2.72,557
0.71,2.0,5.0,2.0,61.9,56.0,5.7,5.73,3.54,2178
0.7,4.0,2.0,2.0,59.8,59.0,5.74,5.8,3.45,2401
0.42,2.0,0.0,4.0,62.3,57.0,4.8,4.76,2.98,1350
1.52,2.0,5.0,2.0,61.9,56.0,7.37,7.42,4.58,9124
0.25,1.0,0.0,4.0,57.6,60.0,4.15,4.18,2.4,399
1.0,2.0,6.0,4.0,61.1,57.0,6.43,6.48,3.95,4466
1.53,2.0,5.0,3.0,61.8,56.0,7.4,7.35,4.56,6255
0.95,4.0,6.0,2.0,63.4,55.0,6.25,6.21,3.95,3154
0.3,1.0,3.0,4.0,63.4,55.0,4.26,4.32,2.72,565
0.92,2.0,4.0,3.0,60.5,57.0,6.3,6.29,3.81,3854
0.36,3.0,1.0,3.0,61.5,58.0,4.56,4.61,2.82,505
2.03,4.0,5.0,5.0,61.4,59.0,8.06,8.12,4.97,15826
0.77,0.0,2.0,4.0,66.8,57.0,5.66,5.76,3.82,3031
1.12,2.0,6.0,5.0,60.1,57.0,6.82,6.75,4.08,4422
0.3,2.0,1.0,7.0,61.9,58.0,4.27,4.29,2.65,766
0.44,2.0,1.0,5.0,61.6,54.0,4.9,4.97,3.04,936
0.9,3.0,3.0,5.0,60.8,56.0,6.19,6.14,3.75,4137
0.7,3.0,1.0,3.0,61.8,60.0,5.65,5.61,3.48,2342
1.71,3.0,4.0,7.0,61.4,59.0,7.67,7.77,4.74,14731
1.5,4.0,0.0,2.0,61.0,59.0,7.33,7.39,4.49,12179
0.32,2.0,2.0,6.0,60.4,57.0,4.41,4.43,2.67,854
1.0,1.0,0.0,2.0,60.4,64.0,6.3,6.39,3.83,5005
0.36,2.0,1.0,2.0,62.9,56.0,4.57,4.52,2.86,810
0.54,1.0,3.0,4.0,59.0,62.0,5.3,5.28,3.12,1640
0.7,1.0,2.0,2.0,63.8,58.0,5.56,5.67,3.58,2121
0.63,2.0,0.0,2.0,62.0,56.0,5.5,5.47,3.4,2313
0.3,2.0,4.0,1.0,60.8,56.0,4.35,4.37,2.65,789
0.3,4.0,4.0,5.0,63.5,59.0,4.27,4.2,2.69,608
1.52,1.0,6.0,2.0,63.6,60.0,7.21,7.25,4.6,6897
0.57,2.0,4.0,2.0,59.3,60.0,5.44,5.48,3.24,1292
0.9,4.0,1.0,5.0,60.4,59.0,6.26,6.3,3.79,4925
0.8,2.0,5.0,1.0,62.4,58.0,5.9,5.96,3.7,3357
0.3,4.0,1.0,3.0,63.5,55.0,4.3,4.27,2.72,540
1.05,4.0,1.0,5.0,62.2,57.0,6.44,6.56,4.04,6865
0.34,1.0,2.0,3.0,63.3,54.0,4.46,4.48,2.83,447
0.3,3.0,1.0,5.0,62.6,58.0,4.28,4.25,2.67,844
0.33,3.0,2.0,2.0,62.8,58.0,4.42,4.4,2.77,705
0.75,2.0,0.0,2.0,62.3,55.0,5.83,5.8,3.62,2898
0.44,2.0,5.0,6.0,61.2,55.0,4.92,4.95,3.02,1107
1.7,3.0,5.0,5.0,61.2,59.0,7.62,7.55,4.64,11360
1.16,2.0,3.0,2.0,60.9,57.0,6.79,6.75,4.12,5519
0.71,1.0,1.0,2.0,63.2,57.0,5.67,5.72,3.6,2494
0.75,3.0,4.0,4.0,61.9,61.0,5.85,5.82,3.61,2961
0.96,4.0,1.0,3.0,62.6,60.0,6.26,6.32,3.94,4186
0.32,2.0,4.0,6.0,60.4,57.0,4.42,4.46,2.68,730
0.9,2.0,2.0,2.0,62.0,57.0,6.21,6.25,3.86,4318
0.34,2.0,3.0,5.0,62.0,56.0,4.47,4.5,2.78,596
0.31,4.0,2.0,6.0,61.3,56.0,4.35,4.37,2.67,808
0.7,0.0,5.0,7.0,64.7,55.0,5.62,5.51,3.6,2117
1.1,1.0,5.0,2.0,63.1,61.0,6.49,6.56,4.12,4133
0.37,3.0,1.0,5.0,63.0,58.0,4.58,4.53,2.87,1041
0.44,3.0,3.0,2.0,61.6,61.0,4.88,4.83,2.99,990
1.23,3.0,3.0,3.0,62.1,58.0,6.85,6.8,4.24,4918
0.24,4.0,0.0,7.0,58.8,58.0,4.05,4.08,2.39,521
0.7,3.0,2.0,2.0,62.4,56.0,5.69,5.63,3.53,2596
0.71,4.0,3.0,5.0,63.5,59.0,5.67,5.63,3.59,2137
0.81,1.0,3.0,3.0,61.0,61.0,5.94,5.99,3.64,2789
1.01,2.0,4.0,4.0,61.5,56.0,6.48,6.43,3.97,4779
1.0,0.0,0.0,4.0,55.9,60.0,6.77,6.71,4.38,7083
0.9,1.0,1.0,3.0,59.9,61.0,6.16,6.2,3.7,3660
1.02,4.0,4.0,5.0,60.6,60.0,6.55,6.48,3.95,5393
0.53,2.0,3.0,6.0,62.1,56.0,5.19,5.21,3.23,1958
0.53,3.0,0.0,5.0,62.4,59.0,5.14,5.18,3.22,1783
1.52,2.0,4.0,2.0,61.8,57.0,7.43,7.32,4.56,9700
0.41,3.0,2.0,4.0,62.7,58.0,4.77,4.74,2.98,1076
0.9,4.0,4.0,2.0,63.4,58.0,6.16,6.11,3.89,3387
0.4,3.0,1.0,4.0,60.1,58.0,4.76,4.72,2.85,1125
1.69,3.0,2.0,5.0,58.7,59.0,7.87,7.78,4.59,16583
0.31,3.0,1.0,6.0,62.0,59.0,4.34,4.3,2.68,1012
1.51,2.0,3.0,5.0,62.3,54.0,7.35,7.33,4.57,13828
0.36,2.0,3.0,6.0,61.7,55.0,4.58,4.6,2.83,1163
0.79,3.0,6.0,2.0,59.1,57.0,6.08,6.06,3.59,2199
0.57,1.0,3.0,2.0,63.5,55.0,5.28,5.3,3.36,1364
0.29,2.0,2.0,4.0,61.6,56.0,4.26,4.31,2.64,555
0.75,3.0,0.0,3.0,60.3,61.0,5.88,5.86,3.54,2307
0.4,3.0,0.0,7.0,60.7,60.0,4.74,4.78,2.89,1263
0.34,3.0,4.0,4.0,60.8,59.0,4.53,4.48,2.74,765
0.47,4.0,1.0,5.0,62.6,57.0,4.92,4.95,3.09,1320
1.04,1.0,2.0,2.0,63.6,59.0,6.4,6.36,4.06,5871
1.0,3.0,2.0,5.0,62.4,60.0,6.38,6.35,3.97,6468
1.03,4.0,0.0,2.0,63.0,59.0,6.39,6.44,4.04,5551
1.29,2.0,2.0,3.0,60.7,58.0,7.0,7.07,4.27,6762
1.01,4.0,3.0,4.0,62.5,56.0,6.36,6.4,3.99,6846
0.79,3.0,3.0,2.0,61.7,60.0,5.93,5.91,3.65,2389
0.52,2.0,0.0,5.0,60.3,56.0,5.24,5.27,3.17,1677
0.3,4.0,0.0,5.0,62.6,61.0,4.22,4.25,2.65,710
0.3,4.0,2.0,7.0,62.5,56.0,4.26,4.29,2.67,730
0.48,4.0,1.0,2.0,62.7,58.5,4.99,5.01,3.14,1349
1.15,3.0,1.0,3.0,61.7,59.0,6.7,6.66,4.12,5193
1.0,4.0,2.0,7.0,63.0,59.0,6.33,6.36,4.0,8950
0.65,3.0,3.0,6.0,59.3,57.0,5.59,5.47,3.28,2510
1.02,2.0,2.0,4.0,61.2,57.0,6.45,6.52,3.98,8024
1.14,4.0,0.0,2.0,62.7,59.0,6.64,6.67,4.17,6464
1.07,2.0,3.0,7.0,61.5,56.0,6.58,6.6,4.05,8707
0.32,2.0,0.0,2.0,61.5,56.0,4.39,4.42,2.71,589
0.43,4.0,3.0,6.0,61.3,57.0,4.85,4.87,2.98,1207
1.0,4.0,3.0,3.0,62.4,60.0,6.31,6.36,3.95,4142
0.93,3.0,3.0,4.0,62.1,59.0,6.21,6.16,3.84,4793
0.53,2.0,2.0,2.0,61.8,56.0,5.19,5.23,3.22,1360
1.17,2.0,3.0,4.0,61.7,57.0,6.71,6.75,4.15,9326
1.13,2.0,3.0,5.0,62.7,57.0,6.68,6.65,4.18,6644
1.0,1.0,0.0,1.0,63.3,59.0,6.33,6.37,4.02,15928
0.5,3.0,3.0,7.0,59.6,60.0,5.18,5.15,3.08,1935
0.71,2.0,2.0,4.0,62.1,56.0,5.69,5.75,3.55,3457
0.34,1.0,1.0,3.0,63.1,56.0,4.46,4.51,2.83,445
0.42,3.0,1.0,5.0,61.9,59.0,4.81,4.75,2.96,1024
0.92,4.0,6.0,2.0,62.6,58.0,6.18,6.22,3.88,3170
1.01,2.0,3.0,5.0,61.9,56.0,6.41,6.45,3.98,6439
1.19,3.0,1.0,4.0,59.8,58.0,7.01,6.94,4.17,9263
1.26,3.0,0.0,5.0,62.5,59.0,6.91,6.85,4.3,9720
0.3,2.0,2.0,1.0,60.9,56.0,4.33,4.37,2.65,886
0.33,3.0,5.0,7.0,61.0,58.0,4.46,4.42,2.71,743
0.33,2.0,3.0,2.0,61.4,57.0,4.48,4.45,2.74,631
0.62,2.0,4.0,6.0,61.1,56.0,5.48,5.52,3.36,2197
0.4,3.0,4.0,2.0,62.7,58.0,4.69,4.65,2.93,855
0.9,4.0,5.0,5.0,62.1,61.0,6.08,6.12,3.79,3535
0.3,3.0,3.0,7.0,61.0,60.0,4.3,4.32,2.63,684
0.53,1.0,2.0,4.0,61.8,62.8,5.13,5.16,3.18,1624
1.06,4.0,2.0,2.0,58.8,57.0,6.67,6.76,3.95,5491
0.72,3.0,2.0,7.0,61.1,58.0,5.78,5.84,3.55,3250
0.7,4.0,1.0,4.0,61.5,56.0,5.69,5.75,3.52,2967
1.01,1.0,2.0,3.0,59.4,60.0,6.44,6.49,3.84,4011
0.74,3.0,2.0,2.0,61.4,59.0,5.81,5.82,3.57,2648
0.53,2.0,4.0,4.0,62.1,56.0,5.21,5.19,3.23,1607
0.41,1.0,1.0,2.0,63.3,57.0,4.73,4.75,3.0,755
0.31,2.0,3.0,7.0,62.7,57.0,4.32,4.35,2.72,660
1.29,0.0,3.0,0.0,66.0,58.0,6.82,6.75,4.48,4277
2.22,4.0,5.0,3.0,62.9,59.0,8.2,8.24,5.17,15047
0.33,2.0,4.0,4.0,61.8,56.0,4.46,4.41,2.74,743
1.0,2.0,5.0,2.0,59.8,57.0,6.44,6.5,3.87,4125
0.5,2.0,0.0,2.0,61.4,58.0,5.07,5.1,3.12,1415
2.34,3.0,5.0,2.0,61.7,60.0,8.59,8.53,5.28,15818
1.01,4.0,1.0,2.0,59.5,60.0,6.49,6.55,3.88,5224
2.05,2.0,6.0,4.0,61.4,59.0,8.16,8.13,5.0,16793
0.8,1.0,3.0,3.0,63.7,58.0,5.88,5.83,3.73,2484
1.0,3.0,2.0,2.0,61.6,61.0,6.37,6.3,3.9,5292
0.6,3.0,1.0,5.0,62.7,58.0,5.37,5.34,3.36,1915
0.4,4.0,2.0,2.0,62.0,56.0,4.72,4.77,2.94,737
1.16,2.0,3.0,1.0,62.3,55.0,6.73,6.79,4.21,9901
0.7,1.0,2.0,3.0,62.2,59.0,5.62,5.64,3.5,2062
1.0,3.0,1.0,3.0,62.9,61.0,6.3,6.23,3.94,3450
0.77,2.0,4.0,2.0,62.2,56.0,5.83,5.88,3.64,2781
0.31,2.0,5.0,4.0,61.9,54.0,4.34,4.38,2.7,489
1.11,2.0,4.0,2.0,62.3,55.0,6.7,6.65,4.16,5456
0.9,2.0,5.0,2.0,60.8,57.0,6.22,6.25,3.79,3308
1.51,2.0,6.0,4.0,61.9,58.0,7.28,7.33,4.52,8170
0.51,3.0,3.0,5.0,62.9,58.0,5.11,5.06,3.2,1546
0.59,2.0,0.0,3.0,60.2,57.0,5.47,5.42,3.28,1572
0.34,2.0,1.0,6.0,62.1,57.0,4.5,4.46,2.78,1084
2.08,4.0,5.0,5.0,58.9,61.0,8.35,8.36,4.92,18281
0.32,3.0,3.0,2.0,61.6,58.0,4.4,4.36,2.7,612
1.42,3.0,2.0,3.0,59.7,57.0,7.33,7.3,4.37,7755
2.2,2.0,5.0,2.0,61.7,55.0,8.37,8.41,5.18,17895
0.51,2.0,2.0,5.0,60.6,56.0,5.17,5.19,3.14,1569
1.19,0.0,5.0,2.0,64.9,58.0,6.64,6.55,4.28,5198
